Metric,Node,Group,Average,Median,Std,IQR
Num NaN Sequences,ear_l,199,956.93,883.0,431.9,169.75
Num NaN Sequences,ear_l,274,1946.33,1851.5,554.42,441.25
Num NaN Sequences,ear_l,400,3618.5,3224.0,1131.97,1501.75
Num NaN Sequences,ear_l,402,2512.5,2558.0,239.51,402.25
Num NaN Sequences,ear_r,199,558.93,633.5,235.97,299.25
Num NaN Sequences,ear_r,274,1226.67,1175.0,341.04,396.25
Num NaN Sequences,ear_r,400,1647.38,1594.0,463.8,323.75
Num NaN Sequences,ear_r,402,1261.7,1116.5,343.5,381.25
Num NaN Sequences,implant,199,630.0,600.0,270.07,417.5
Num NaN Sequences,implant,274,1170.83,1156.5,460.68,671.25
Num NaN Sequences,implant,400,1035.88,943.0,382.03,345.0
Num NaN Sequences,implant,402,1386.1,1433.0,298.48,475.0
Num NaN Sequences,neck,199,649.93,567.5,249.01,181.5
Num NaN Sequences,neck,274,2044.33,1911.0,438.96,446.5
Num NaN Sequences,neck,400,2736.75,2702.5,855.55,892.75
Num NaN Sequences,neck,402,4299.8,4181.5,634.42,583.75
Num NaN Sequences,neck_l,199,946.14,910.5,324.46,392.5
Num NaN Sequences,neck_l,274,3282.5,3164.5,659.83,1094.75
Num NaN Sequences,neck_l,400,4043.38,3813.5,1159.38,1894.25
Num NaN Sequences,neck_l,402,4755.9,4631.5,554.27,880.25
Num NaN Sequences,neck_r,199,942.14,982.0,331.13,464.0
Num NaN Sequences,neck_r,274,2241.33,2819.0,1843.51,2304.0
Num NaN Sequences,neck_r,400,4834.12,5469.0,2334.1,2207.25
Num NaN Sequences,neck_r,402,6058.9,6213.0,1089.86,1708.0
Num NaN Sequences,nose,199,1955.0,1865.5,437.26,420.25
Num NaN Sequences,nose,274,2377.17,2475.5,279.57,268.5
Num NaN Sequences,nose,400,3241.12,3505.0,1008.89,1544.5
Num NaN Sequences,nose,402,1861.0,1860.5,237.36,392.0
Num NaN Sequences,rear_m,199,978.36,951.5,338.15,325.5
Num NaN Sequences,rear_m,274,2781.17,2835.0,415.32,620.25
Num NaN Sequences,rear_m,400,3211.38,3299.0,1174.64,1491.25
Num NaN Sequences,rear_m,402,4259.5,4274.0,692.75,845.25
Num NaN Sequences,tail_base,199,901.43,822.0,419.45,310.0
Num NaN Sequences,tail_base,274,1602.0,1632.5,221.82,242.5
Num NaN Sequences,tail_base,400,1676.88,1631.5,631.39,732.25
Num NaN Sequences,tail_base,402,2448.6,2372.5,336.77,263.0
Num NaN Sequences,tail_end,199,958.14,835.5,392.27,472.75
Num NaN Sequences,tail_end,274,1930.0,1835.0,415.65,583.25
Num NaN Sequences,tail_end,400,2577.62,2532.0,618.71,835.5
Num NaN Sequences,tail_end,402,1512.6,1452.0,315.91,382.5
Num NaN Sequences,tail_mid,199,1861.36,1800.0,666.11,920.25
Num NaN Sequences,tail_mid,274,1502.83,1515.0,154.21,260.25
Num NaN Sequences,tail_mid,400,1603.88,1658.5,288.97,253.0
Num NaN Sequences,tail_mid,402,3527.4,3484.0,447.65,622.5
Total NaNs,backleg_l,199,6220.07,5289.0,4046.31,3434.0
